source_doc_id,cited_doc_id,type_of_reference,details
R1-2401668,R1-2400484,Correction,CR proposals for MBS RedCap specifications
R1-2409833,RAN1 Chair’s Note,Meeting Report,RAN1#118bis agreements on OCC working assumptions
R1-2410050,RP-242399,Normative Reference,Revised WID on AI/ML for NR Air Interface from RAN #105
R1-2409692,TR 36.777,Technical Report,Study on Enhanced LTE Support for Aerial Vehicles
R1-2407117,38.213,Citation,Target specification for beam management procedures
R1-2400623,RP-234007,Work Item Description,Rel-19 NR MIMO Phase 5 Work Item
R1-2406455,RP-234007,Work Item Description,Rel-19 MIMO Evolution WID agreement
R1-2404566,RAN1 Chair’s Note,Previous Meeting Documentation,RAN1#116bis agreements on measurement gap solutions
R1-2402216,38.214,Citation,Referenced for PUSCH timing parameters
R1-2400521,TS 38.213,Technical Specification,NR physical layer procedures for control
R1-2404127,TR 38.901,Channel Model Baseline,Base document for channel modeling framework
R1-2408742,RP-234058,SID,New Study Item on Ambient IoT solutions
R1-2404114,RP-240789,WID,Rel-19 Work Item Description for duplex enhancements
R1-2410364,RP-241659,Work Item Description,Non-Terrestrial Networks (NTN) Phase 3 specifications
R1-2400068,TR 38.901,Technical Report,3GPP channel model for frequencies 0.5-100 GHz
R1-2400294,38.211,Technical Specification,3GPP NR Physical layer procedures for data transmission
R1-2405229,38.331,Technical Specification,RRC protocol specification
R1-2401334,TR 38.864,Technical Report,Study on network energy savings for NR
R1-2402419,3GPP TS 36.104,Technical Specification,Base Station radio transmission requirements
R1-2410467,TS 37.355,Technical Specification,LPP protocol specifications for positioning assistance data
R1-2407983,38.213,Technical Specification,Rel-18 TS38.213 updates for SRS power control.
R1-2400062,RP-234065,Work Item Description,New WID on network energy savings enhancements
R1-2404389,TS 38.133,Technical Specification,RRM requirements including measurement gap configurations.
R1-2404040,R1-2403676,Working Document,RAN1#116b moderator summary on XR measurements
R1-2402728,RAN1#116 Draft Report,Background,Agreements on OOK-1/OOK-4 waveform support.
R1-2403963,RP-234018,Study Item Description,New SID on channel modeling for 7-24GHz
R1-2409056,R1-2408085,Contribution,Discussion paper on Rel-17 unified TCI framework issues
R1-2405130,R1-2403833/R4-2406717,Liaison Statement,RAN4 LS on UE Capability requirements for asymmetric bandwidths
R1-2408678,RP-234065,Work Item Description,New WID for Enhanced Network Energy Savings
R1-2401140,38.213,Technical Specification,Physical layer procedures for control channel
R1-2400317,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2404096,38.214,Technical Specification,Base specification being modified by this CR
R1-2406951,R1-2405685,Feature Lead Summary,RAN1#117 summary on UL capacity enhancements
R1-2406527,RP-241515,Work Item,Revised Work Item: NR mobility enhancements Phase 4
R1-2410257,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2410192,TR 38.843,Technical Report,Study on AI/ML for NR air interface (v18.0.0).
R1-2401202,38.331,Technical Specification,3GPP TS 38.331 v17.5.0 - Radio Resource Control protocol
R1-2409714,R1-2409712,Companion Contribution,On-demand SSB SCell Operation
R1-2404039,TR 36.777,Technical Report,Study on enhanced LTE support for aerial vehicles.
R1-2400885,RP-234058,Meeting Report,Approved Rel-19 Study Item on Ambient IoT solutions
R1-2408431,TR 38.843,Technical Report,Contains study conclusions on AI/ML for CSI compression
R1-2400273,RP-234056,Working Item,NR LP-WUS/WUR standardization work item approval
R1-2408402,RP-242399,Work Item Description,Revised WID on AI/ML for NR Air Interface
R1-2403937,R1-2403739,Citation,Initial draft CR introducing FR2-NTN PRACH table modifications.
R1-2400106,RP-232915,Citation,Proposal for Rel-19 MIMO objectives including 3Tx codebook specification.
R1-2401458,RAN1#109e,Methodology,Link-level simulation assumptions for coverage evaluation
R1-2402666,RP-234058,SID,New Study Item on Ambient IoT approved at RAN #102
R1-2406790,38.214,Technical Specification,Configurations for L1-RSRP reporting in LTM.
R1-2408590,"IEEE Access (Fu et al., 2023)",External Publication,Tutorial on downlink precoder selection strategies for 3GPP MIMO codebooks.
R1-2400537,R1-2312705,UE Features List,Corrected RAN1 UE features list for Rel-18 NR
R1-2408612,R1-2407590,Citation,LS from RAN2 on common TA in regenerative payload scenarios
R1-2405884,R1-2311196,Contribution,ZTE's angle scaling proposal (Alt3)
R1-2400297,38.211,Technical Specification,NR Physical channels and modulation
R1-2408660,RP-234018,Study Item,Rel-19 SI on 7–24 GHz channel modeling
R1-2409992,3GPP TR 38.901,Technical Specification,Baseline channel model for communication systems
R1-2400784,RP-233571,Citation,China Telecom's views on Rel-19 Ambient IoT
R1-2404552,R1-2402086,Citation,Moderator summary from RAN1#116-bis meeting
R1-2403438,R1-2403033,Technical Proposal,ZTE's correction on CSI reports with cell DTX
R1-2406525,RAN1#116bis,Meeting Notes,Agreements on UE-initiated beam reporting procedures.
R1-2404191,RP-234018,Study Item,New SID on channel modeling enhancements for 7-24GHz
R1-2409800,IEEE 10.1109/CICC.2006.320975,Technical Validation,Citations low-power oscillator implementation (320nW at 1.52MHz)
R1-2403626,TS 38.214,Technical Specification,3GPP specification defining PUSCH modulation and coding schemes.
R1-2406708,RAN1#117 Chair's Note,Previous Agreement,Foundational agreements on SSB signaling methods
R1-2401401,3GPP TR 38.848,Technical Report,Study of Ambient IoT in RAN v18.0.0
R1-2410356,RP-240826,Study Item Description,Revised SID: Study on solutions for Ambient IoT in NR
R1-2403217,R1-2401852,Summary Document,Moderator summary of NR Rel-15/16 maintenance discussions
R1-2409020,RP-241667,Work Item Description,Revised WID on NR NTN enhancements for Release 19
R1-240XXXX,TS 37.355,Technical Specification,Alignment of phase quality measurements
R1-2400452,38.213,Citation,NR physical layer procedures for TCI state management
R1-2403841,RP-240826,Revised SID,Study on Ambient IoT solutions in NR
R1-2407833,38.331,Technical Specification,References CSI-RS resource set repetition configuration rules
R1-2405186,R1-2208224,Previous Agreement,Rel-17 PHR agreements for mTRP configurations
R1-2401831,38.101-1,Technical Specification,NR User Equipment radio transmission requirements
R1-2404786,RAN1#116 Chair notes,Citation,Agreed evaluation assumptions for UL capacity enhancement.
R1-2403207,RP-234069,Study Item,RAN#102 agreement on ISAC channel modeling study
R1-2409204,R1-2407593,Liaison Statement,Initial LS from RAN2 requesting TB size clarification
R1-2402876,RP-234007,Work Item,NR MIMO Phase 5 work item description
R1-2409648,RP-242356,Work Item,Revised Work Item: NR mobility enhancements Phase 4
R1-2409202,R1-2408513,Contribution,Proposes Pcmax clarification for SRS in validity areas
R1-2405018,R1-2403741,Citation,Rel-19 agreements on time-domain measurements
R1-2402254,RP-234069,Study Item Description,New SID on ISAC channel modeling
R1-2404774,TR 38.858,Technical Report,Study on NR duplex operation evolution
R1-2402207,R1-2401664,Related Work,Summary of SRS transmission occasion and power scaling discussions.
R1-2402445,RAN1#116 Chair's Notes,Meeting Report,Agreements on overlapping SPS PDSCH handling.
R1-2405294,38.214,Technical Specification,Main specification being modified by this CR
R1-2404407,RAN1 Chairman's Notes #116-bis,Previous Meeting Agreement,Base document for current discussion items
R1-2401695,TR 38.848,Technical Report,RAN study on Ambient IoT scenarios and requirements.
R1-2406934,TR38.848,Technical Report,Study on Ambient IoT in RAN (Release 18)
R2-2313656,R2-2313614,Attachment,Rel-18 RAN2 Technical Paper for TR 37.985
R1-2409404,38.101-2,Technical Specification,UE radio transmission and reception; Part 2: Range 2 Standalone
R1-2408564,RP-234007,WID,Rel-19 MIMO Phase 5 Work Item Description
R1-2402632,RP-234007,Work Item Dependency,References NR MIMO Phase 5 work item for context
R1-2409842,RP-242394,Work Item Description,NR MIMO Phase 5 WID revision by Samsung.
R1-2410494,RP-240791,Related Work,Revised WID on XR (eXtended Reality) for NR Phase 3.
R1-2410203,RP-234039,Work Item,New WID on AI/ML for NR Air Interface (Rel-19)
R1-2405108,R1-2401146,Previous contribution,LP-WUS and LP-SS design considerations
CR-Form-v12.2 CHANGE REQUEST 2 CR rev,TS 38.213,Technical Specification,Referenced for beta_offset indicator tables in PUSCH scheduling.
R1-2403866,RP-240774,Related Work,Revised WID on AI/ML for NR Air Interface
R1-2400526,38.211,Technical Specification,PRACH configuration tables in Section 6.3.3.2
R1-2401924,38.213,Technical Specification,NR Physical layer procedures for control
R1-2406237,RAN1 #117 Chairman notes,Citation,References agreements on SBFD subband periodicity and CSI-RS handling.
R1-2409154,R1-2407684,Contribution,Huawei's analysis on spherical vs planar wavefront impacts
R1-2410858,37.213,Technical Specification,Specification modified by this CR (Clause 4.5)
R1-2403959,RAN1#116-bis,Meeting Notes,Chair's Notes from previous meeting establishing baseline agreements
R1-2409407,R1-2407208,Feature Lead Summary,Summary #3 of AI9.11.3 on NR-NTN uplink capacity enhancements.
R1-2405895,RP-2405589,Previous agreement,Summary of RAN1#117 discussions on channel model validation
R1-2401412,38.331,Technical Specification,NR RRC specification with relevant parameter definitions
R1-2405900,RP-234039,Work Item Description,New WID for NR_AIML_Air approved at RAN#102
R1-2409384,38.213,Technical Specification,3GPP TS 38.213: NR Physical layer procedures for control
R1-2400035,TS23.288,Technical Specification,RAN intelligence function support for AI/ML services
R1-2406475,R1-2404503,Previous Contribution,Sony's prior submission on frame structure
R1-2403316,R1-2403317,Change Request,Rel-18 update of UCI multiplexing prohibition
R1-2402267,Chair’s note of RAN1#116,Related Work,Agreements on model identification and transfer cases.
R1-2407136,RP-234056,Work Item,Approved work item for LP-WUS/LP-SS development
R1-2404430,TR 38.848,Technical Report,Study on Ambient IoT in RAN
R1-2401153,3GPP TR 38.843,Technical Report,Release 18 study on AI/ML for NR air interface
R1-2402053,R1-2302319,Technical Evaluation,Rel-18 AI/ML CSI feedback enhancement study
R1-2409073,R1-2408709,Contribution,MediaTek's initial submission on SSSG interactions
R1-2409932,RP-234007,Work Item Description,New WID for NR MIMO Phase 5 approved at RAN#102
R1-2404559,RAN1#116 Report,Meeting Report,Agreements on Ambient IoT physical layer design
R1-2410473,38.213,Technical Specification,3GPP TS 38.213: Physical layer procedures for control
R1-2410936,38.214,Procedural Reference,PUSCH preparation time definitions
R1-2401701,R1-2112748,Previous agreement,vivo's summary of prioritization discussions
R1-2408323,RP-241659,Work Item Description,RAN Plenary document for NR NTN Phase 3 enhancements.
R1-2401290,R1-2312705,Citation,Corrected RAN1 UE features list for Rel-18 NR after RAN1#115
R1-2402291,R4-2403632,LS Reply,RAN4 discussion on phase/power error requirements for 8Tx UE
R1-2404175,38.213,Technical Specification,Physical layer procedures for control
R1-2403679,TS 38.212,Technical Specification,CRC polynomials reference
R1-2407623,36.212,Technical Specification,Modified clauses 5.3.3.1.13 and 6.4.3.2 for DCI formats
R1-2406334,TS 38.211,Technical Specification,NR Physical channels and modulation specification
R1-2404234,38.213,Technical Specification,Clause 9.1.3.1 modified by this CR
R1-2404847,TR 21.900,Technical Report,3GPP change request procedures and guidelines
R1-2403586,38.214,Target Specification,Clause 8.6 modified by this CR.
R1-2406006,RP-234077,Work Item Dependency,New WID for NTN IoT Phase 3 approved at RAN#102
R1-24xxxxx,R1-2408184,Draft CR,Proposes changes to number of repetitions for time period in Coverage Enhancement
R1-2407112,RP-240087,Citation,Revised Rel-19 MIMO WID by Samsung
R1-2401850,R4-2321960,Liaison Statement,RAN4's request for UE capability definitions
R1-2409102,R1-2407661,Contribution,Huawei/HiSilicon proposal on HD-FDD priority rules
R1-2403715,TR 38.901,Technical Report,3GPP channel model baseline for 0.5-100 GHz frequencies.
R1-2401263,TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation (V18.0.0)
R1-2404661,RP-234035,Related Work,New WI on evolution of NR duplex operation by CMCC
R1-2409605,38.211,Technical Specification,Physical channel modulation for NR
R1-2407786,38.214,Technical Specification,SSB indexing rules in Clause 4.1
R1-2401701,R1-2400703,Related work,Samsung's proposed CR for UCI multiplexing correction
R1-2405739,38.211,Technical Specification,Physical channels and modulation requirements for FR2-NTN
R1-2409783,RP-242399,Work Item Description,Artificial Intelligence (AI)/Machine Learning (ML) for NR air interface
R1-2404543,RP-234018,Citation,Rel-19 study item on channel modeling for 7-24 GHz
R1-2406028,RP-234007,WID Citation,NR MIMO Phase 5 Work Item Description
R1-2405195,38.214,Technical Specification,Target specification for UE physical layer procedures
R1-2410880,TR38.901,Technical Report,Baseline channel model being adapted for higher frequencies
R1-2400654,38.212,RRC Parameter Alignment,Corrections for scheduledCellListDCI parameters in clause 7.3.1
R1-2402437,38.213,Technical Specification,Base specification being modified by this CR
R1-2402567,Draft Report RAN1#116,Previous Agreement,Initial agreements on A-IoT waveform and coding
R1-2406413,R1-2404300,RAN1 Agreement,Summary #2 on LP-WUS operation in IDLE/INACTIVE mode.
R1-2403386,TS 22.837,Technical Specification,Feasibility Study on Integrated Sensing and Communication
R1-2406072,RP-234058,Previous Study Item,New SID on Ambient IoT approved at RAN#102
R1-2404685,Rel-16 eT2,Benchmark Scheme,Used as performance comparison baseline
R1-2401555,R1-2401411,Related Contribution,Clarification on CSI dropping with UCI multiplexing on PUSCH.
R1-2409430,RP-242394,Work Item Description,Rel-19 MIMO Enhancement WID
R1-2406556,36.211,Technical Specification,NPUSCH/NPRACH physical layer procedures
R1-2403156,R1-2403155,Draft Change Request,Draft CR for TS 38.214 section 8.1.3.2
R1-2401401,3GPP TR 22.840,Technical Report,Study on Ambient power-enabled Internet of Things v19.0.0
R1-2404730,38.213,Technical Specification,Clause 10.1 modification for PDCCH candidate calculation
R1-2401675,R1-2400062,Contribution,Spreadtrum's discussion on SCell activation benefits
R1-2404482,38.212,Normative,References UTO-UCI and CG-UCI formats in PUSCH.
