agenda_id,release,topic,description
9.3.1,Rel-19,On SBFD TX/RX/measurement procedures,"Specification of UE transmission, reception, and measurement behaviors in SBFD symbols, including resource allocation enhancements and collision handling."
9.2.3,Rel-19,MIMO Enhancements,Discussion of remaining issues for Rel-19 MIMO features including 3Tx UE operation
9.12,NR Phase 2,Multi-Carrier Enhancements for NR Phase 2,"Discussion of enhancements for multi-cell scheduling via single DCI, including HARQ-ACK codebook design, NDI/RV field handling, and cross-carrier scheduling improvements"
9.1.2,Release 19,AI/ML-based Positioning,"Discussion of specification support for AI/ML-based positioning enhancements including data collection mechanisms, measurement reporting formats, and consistency management between training/inference phases"
9.1.1,Rel-18,AI/ML for Beam Management,"Specification discussion for AI/ML-based beam management enhancements including associated ID design, performance monitoring metrics, and reference signal configuration"
9.1.4.1,Release 19,Additional study on AI/ML - CSI Compression,"Discusses training logistics, reference model standardization, temporal-spatial-frequency compression, error tolerance, and monitoring mechanisms for AI/ML-based CSI compression in Release 19."
9.4.2.3,3GPP Release 18,A-IoT Physical Layer Design,Standardization of physical layer signals and procedures for energy-harvesting A-IoT devices
9.1.1,Rel-19,AI/ML for NR Air Interface,"Specification of AI/ML-based beam management features for Rel-19, including spatial/temporal beam prediction and LCM mechanisms."
9.2.1,Unknown,Discussion on UE-initiated/event-driven beam management,"Discussion of beam reporting procedures including trigger events, RS configuration methods, reporting protocols, and content specifications for UE-initiated beam management"
NR_XR_enh-Core,Rel-18,Parameter Name Harmonization,Agenda item for resolving RRC parameter name mismatches between TS 38.212 and TS 38.331 related to UTO-UCI configuration.
9.1.3.2,Release 18/19,AI/ML for CSI Compression,"Study objectives for CSI feedback enhancement including performance-complexity tradeoffs, inter-vendor collaboration issues, and temporal-spatial-frequency compression methods"
9.9.1,Rel-19,Measurements related enhancements for LTM,"Enhancements for Layer 1/Layer 2 mobility measurements, including L1-SINR support, CSI-RS configurations, and event-triggered reporting frameworks."
9.7.2,3GPP Release 18,Discussions on ISAC Channel Modelling,"Discusses ISAC channel model framework, target/background channel components, and proposals for parameter generation and complexity reduction."
9.4.2.2,Rel-19,Frame structure and timing aspects of Ambient IoT,"Study of solutions for Ambient IoT including device activity cycles, timing relationships between R2D/D2R transmissions, and contention-based access procedures."
9.1.3,Rel-19,AI/ML based CSI prediction,"Study of AI/ML-driven CSI feedback enhancements including UE-side prediction models, training/inference consistency mechanisms, and performance monitoring frameworks for Rel-19 specifications"
9.13,Release 18,Link adaptation TEI-19,Discussion on UE-NW BLER target misalignment causing throughput degradation and proposal for a new RRC parameter to decouple CQI BLER targets from CQI tables.
8.1,Rel-18,DMRS configuration,Discussion on UE capabilities for DMRS type management across DCI formats
9.3.3,Rel-19,CLI handling,Discussion on enhancements for gNB-to-gNB/UE-to-UE CLI mitigation including UL resource muting and L1 measurement/reporting mechanisms
8.12.5,Rel-18,Discussion on UE features under Topic A,Discussion of UE capability requirements for Rel-18 XR joint release mechanisms (FG50-1b) and their interaction with existing configured grant features.
9.5.3,Release 19,Adaptation of common signal/channel transmissions,"Discussion on mechanisms for adapting SSB, PRACH, and paging transmissions to enhance network energy efficiency while maintaining legacy compatibility"
9.4.2.1,3GPP Release unspecified,General Physical Layer Design Considerations for Ambient IoT,"Discussion on line coding, modulation schemes, FEC selection, and repetition methods for D2R/R2D links in ambient IoT systems"
9.14.2,Rel-19,Rel-19 MIMO UE Features,"Discussion on enhancements for UE-initiated beam management, CSI reporting mechanisms, 3-antenna codebook support, and asymmetric TRP scenarios in Rel-19"
9.5.2,Release 19,On-demand SI mechanisms,Specification of procedures and signaling methods for Case 2 on-demand SIB1 transmission using UL WUS via PRACH resources
CR-related,Rel-15,CR Approval for SRS Codebook Transmission,Discussion and approval of CR addressing simultaneous SRS resource transmission constraints for codebook-based UL
NR_demod_enh3-Core,Release 18,Network Assistance Signaling for Advanced Receivers,Discussion on RRC configurations for advanced receiver enhancements in Release 18
9.4.2.3,Rel-19,Ambient IoT channel design,"Discussion on D2R/R2D physical channels, TB size adaptation, and topology 2 resource allocation strategies"
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,"Discussion on mechanisms for adapting SSB and PRACH transmissions to improve network energy efficiency, including time/frequency domain configurations and DCI-based activation."
9.11.3,Release 19,NR-NTN Uplink Capacity/Throughput Enhancement,"Study of DFT-s-OFDM PUSCH enhancements via OCC for FR1-NTN, including performance evaluation under impairments, signaling requirements, and RF impact analysis"
9.3.3,Release 18,CLI handling for SBFD operation,Discussion on uplink resource muting configurations and UE-to-UE CLI measurement/reporting mechanisms for SBFD networks.
9.1.4.2,Rel-19,AI/ML Model and Data Aspects,"Discussion on data collection mechanisms, model transfer/delivery cases, and identification procedures for AI/ML implementation in NR"
7,Rel-18,PTRS clarification for 2CW retransmissions,Clarification of specification ambiguities regarding PTRS association and time density determination for 2-codeword PDSCH/PUSCH retransmissions
9.10.1,Rel-19,TX/RX for XR during RRM measurements,"Discussion on mechanisms to adapt RRM measurements (e.g., MG/SMTC) to prioritize XR traffic, including time-window-based solutions and dynamic signaling."
9.6.1,Rel-19,Discussion on the LP-WUS and LP-SS design,"Physical layer design aspects for low-power wake-up signals and synchronization signals, including waveform selection (OOK variants), sequence design, and parameter alignment between LP-WUS/LP-SS"
9.4.2.4,Release 19,Waveform characteristics of carrier-wave provided externally to the Ambient IoT device,"Analysis of CW transmission scenarios for Ambient IoT backscattering, focusing on regulatory compliance and hardware feasibility."
9.3.1,Release 19,Evolution of NR Duplex Operation,"Discussion on SBFD TX/RX configurations, measurement procedures, and coexistence with legacy UEs."
9.1.3.1,Rel-18,Type-2 HARQ-ACK codebook in PUCCH,Clarification of codebook construction rules during BWP switching scenarios
9.1.2,Rel-19,Specification support for AI/ML positioning,"Normative work for AI/ML-based positioning enhancements, including LCM signaling, beam prediction, and measurement frameworks."
9.4.2.1,Rel-19,Physical Layer Design for Ambient IoT,"Discussion on DL/UL waveform design, synchronization, modulation, and channel coding for Ambient IoT devices, focusing on energy efficiency and compatibility with NR infrastructure."
NR_MIMO_evo_DL_UL,Rel-18,MIMO Evolution Work Item,Specification support for DL/UL MIMO enhancements in Release 18
5,Rel-19,RAN4 LS on UE RF Issues,"Discussion on UE RF requirements for Rel-19 MIMO enhancements, focusing on asymmetric TRP deployments and 3Tx UE power transmission capabilities."
9.2.3,Rel-19,Support for 3-antenna-port codebook-based transmission,Discussion on specifying 3-port PUSCH and codebook design for 3Tx antenna UEs in Rel-19 MIMO enhancements.
9.5.3,Release 19,Discussion on adaptation of common signal and channel transmissions,"Discussion of mechanisms for adapting SSB, PRACH and paging transmissions to optimize network energy savings while maintaining UE functionality. Includes evaluation of time/spatial domain adaptations and legacy compatibility."
9.2.1,Rel-19,UE-initiated (UEI) beam management enhancements,"Discusses proposals for Event-2 evaluation procedures, UL signaling design, and measurement configurations for UE-initiated beam reporting."
9.2.2,Rel-19,Rel-19 CSI Enhancements,"Discussion on CSI enhancements for Rel-19, including codebook refinements, CRI-based reporting, and CJT calibration under non-ideal conditions."
8.2,Rel-18,UE features for Rel-18 NES,Discussion on UE capability requirements for Network Energy Savings features in Release 18
9.1.3.1,Release 19,Study on AI/ML for air interface,"Enhancements for CSI prediction and compression including performance-complexity tradeoffs, cell-specific models, and inter-vendor collaboration solutions"
5,Rel-18,SSB time offset reference point,Discussion on reference point selection for SSB time offset calculation in satellite switching scenarios
Unknown,,Maintenance of NR positioning specifications,Discussion of corrections and improvements for NR positioning mechanisms in Rel-18
9.2.6,Rel-18,PUCCH repetition procedure,Specifies UE procedures for determining the number of PUCCH repetitions for HARQ-ACK feedback when dedicated resources are unavailable.
9.4.2.2,Release 18,Frame structure and timing aspects for A-IoT,"Discussion on alignment with NR systems, contention access procedures, and timing synchronization mechanisms for Ambient IoT devices"
9.4.2.4,Rel-19,Discussion on the waveform characteristics of carrier-wave for the Ambient IoT device,"Study of waveform characteristics for externally provided carrier waves, including interference handling, PAPR impacts, and energy harvesting requirements for Ambient IoT devices in NR systems."
21,Rel-18,L1/L2-triggered mobility procedures,Discussion of physical layer mobility mechanisms including TCI state management
9.3.3,Rel-19,CLI handling for SBFD,"Discussion on UL resource muting configurations, L1 CLI measurement frameworks, and reporting mechanisms for SBFD systems."
9.11,Rel-18/Rel-19,AI/ML for Beam Management,Specification support for AI/ML-based beam management including UE-side model reporting and functionality enhancements
R1-2403828,,Clarification on Type 3 PH reporting,Discussion on PH value reporting mechanisms for mTRP-configured cells.
9.6.3,Release 18,Discussion on LP-WUS operation in CONNECTED mode,"Study procedures for LP-WUS-triggered PDCCH monitoring in connected mode, including activation/deactivation mechanisms and coexistence with legacy features."
9.7.2,,Discussion on ISAC channel modelling,"Evaluation of channel modelling frameworks for Integrated Sensing and Communication (ISAC) to support object detection/tracking in scenarios like UAVs, humans, and vehicles."
